InvoiceNo,CustomerID,InvoiceDate,ProductName,Category,Quantity,UnitPrice,TotalSpend
INV100000,10103.0,2023-01-01 00:00:00,Leather Wallet,Accessories,3,29.99,89.97
INV100001,10436.0,2023-01-01 01:56:30,Sunglasses,Accessories,3,35.0,105.0
INV100002,10861.0,2023-01-01 03:53:00,Wireless Earbuds,Electronics,1,59.99,59.99
INV100003,10271.0,2023-01-01 05:49:31,Denim Jacket,Apparel,1,74.99,74.99
INV100004,10107.0,2023-01-01 07:46:01,Denim Jacket,Apparel,1,74.99,74.99
INV100005,10072.0,2023-01-01 09:42:31,Bluetooth Speaker,Electronics,1,45.0,45.0
INV100006,10701.0,2023-01-01 11:39:02,Running Shoes,Footwear,1,89.99,89.99
INV100007,10021.0,2023-01-01 13:35:32,Leather Wallet,Accessories,1,29.99,29.99
INV100008,10615.0,2023-01-01 15:32:02,Wireless Earbuds,Electronics,1,59.99,59.99
INV100009,10122.0,2023-01-01 17:28:33,Stainless Steel Bottle,Fitness,3,19.99,59.97
INV100010,10467.0,2023-01-01 19:25:03,Leather Wallet,Accessories,2,29.99,59.98
INV100011,10215.0,2023-01-01 21:21:33,Smart Watch,Electronics,1,129.99,129.99
INV100012,10331.0,2023-01-01 23:18:04,Running Shoes,Footwear,1,89.99,89.99
INV100013,10459.0,2023-01-02 01:14:34,Leather Wallet,Accessories,1,29.99,29.99
INV100014,10088.0,2023-01-02 03:11:04,Wireless Earbuds,Electronics,1,59.99,59.99
INV100015,10373.0,2023-01-02 05:07:35,Leather Wallet,Accessories,1,29.99,29.99
INV100016,10100.0,2023-01-02 07:04:05,Smart Watch,Electronics,2,129.99,259.98
INV100017,10872.0,2023-01-02 09:00:36,Stainless Steel Bottle,Fitness,2,19.99,39.98
INV100018,10664.0,2023-01-02 10:57:06,Yoga Mat,Fitness,3,24.99,74.97
INV100019,10131.0,2023-01-02 12:53:36,Backpack,Accessories,1,49.99,49.99
INV100020,10662.0,2023-01-02 14:50:07,Stainless Steel Bottle,Fitness,3,19.99,59.97
INV100021,10309.0,2023-01-02 16:46:37,Sunglasses,Accessories,1,35.0,35.0
INV100022,10770.0,2023-01-02 18:43:07,Leather Wallet,Accessories,1,29.99,29.99
INV100023,10344.0,2023-01-02 20:39:38,Denim Jacket,Apparel,2,74.99,149.98
INV100024,10492.0,2023-01-02 22:36:08,Bluetooth Speaker,Electronics,2,45.0,90.0
INV100025,10414.0,2023-01-03 00:32:38,Denim Jacket,Apparel,4,74.99,299.96
